Clock__3.smv,Error,0.03,0.02
Clock.smv,Error,0.03,0.02
CollisionAvoidance__1.smv,Valid,0.11,0.09
CollisionAvoidance__2.smv,Invalid,0.13,0.10
CollisionAvoidance__3.smv,Invalid,0.12,0.09
CollisionAvoidance__4.smv,Invalid,0.12,0.10
CollisionAvoidance__5.smv,Invalid,0.11,0.09
CollisionAvoidance__6.smv,Invalid,0.11,0.09
CollisionAvoidance__7.smv,Invalid,0.11,0.09
CollisionAvoidance.smv:1:6:0:0.33,0.30
controlLaw.smv,Valid,0.04,0.02
cruise_controller_01.smv,Valid,7.89,7.86
cruise_controller_02.smv,Valid,6.75,6.73
cruise_controller_03.smv,Valid,9.05,9.02
cruise_controller_04.smv,Valid,6.51,6.48
cruise_controller_05.smv,Valid,0.13,0.10
cruise_controller_06.smv,Valid,0.15,0.13
cruise_controller_07.smv,Valid,0.12,0.10
cruise_controller_08.smv,Invalid,32.68,32.66
cruise_controller_09.smv,Invalid,4.25,4.23
cruise_controller_10.smv,Valid,4.95,4.93
cruise_controller_11.smv,Valid,0.14,0.12
cruise_controller_12.smv,Valid,2.88,2.86
cruise_controller_13.smv,Valid,0.14,0.12
cruise_controller_14.smv,Valid,1.87,1.85
cruise_controller_15.smv,Invalid,5.96,5.93
cruise_controller_16.smv,Invalid,31.40,31.38
cruise_controller_17.smv,Invalid,6.69,6.67
cruise_controller_18.smv,Valid,0.65,0.63
cruise_controller_19.smv,Valid,1.44,1.41
cruise_controller_20.smv,Invalid,5.27,5.24
cruise_controller_21.smv,Invalid,0.15,0.13
cruise_controller_22.smv,Invalid,6.80,6.78
cruise_controller_23.smv,Invalid,30.83,30.80
cruise_controller_24.smv,Valid,2.87,2.86
CruiseControllerCrv__10.smv,Error,0.04,0.02
CruiseControllerCrv__11.smv,Error,0.04,0.02
CruiseControllerCrv__12.smv,Error,0.04,0.02
CruiseControllerCrv__1.smv,Error,0.04,0.02
CruiseControllerCrv__2.smv,Error,0.04,0.02
CruiseControllerCrv__3.smv,Error,0.04,0.01
CruiseControllerCrv__4.smv,Error,0.04,0.02
CruiseControllerCrv__5.smv,Error,0.04,0.02
CruiseControllerCrv__6.smv,Error,0.04,0.02
CruiseControllerCrv__7.smv,Error,0.04,0.02
CruiseControllerCrv__8.smv,Error,0.04,0.01
CruiseControllerCrv__9.smv,Error,0.04,0.02
CruiseControllerCrv.smv,Error,0.03,0.02
DeepTaxi__1.smv,Valid,0.11,0.10
DeepTaxi__2.smv,Valid,0.12,0.10
DeepTaxi.smv,Valid,0.21,0.18
DeliveryDrone__1.smv,Valid,0.17,0.15
DeliveryDrone__2.smv,Invalid,0.11,0.10
DeliveryDrone__3.smv,Invalid,0.12,0.09
DeliveryDrone__4.smv,Invalid,0.12,0.10
DeliveryDrone__5.smv,Valid,0.95,0.93
DeliveryDrone__6.smv,Valid,0.43,0.40
DeliveryDrone__7.smv,Valid,1.76,1.74
DeliveryDrone.smv:4:3:0:3.17,3.15
DRAGON_10_e1_3587_e3_2749.smv,Valid,0.08,0.05
DRAGON_10_e1_3587_e7_872.smv,Invalid,0.07,0.05
DRAGON_10_e1_998.smv,Valid,0.08,0.07
DRAGON_10_e2_2785_e3_1744.smv,Valid,0.08,0.05
DRAGON_10_e2_402.smv,Valid,0.08,0.06
DRAGON_10_e3_144_e5_2046.smv,Valid,0.08,0.05
DRAGON_10_e3_144_e7_523.smv,Invalid,0.08,0.05
DRAGON_10_e3_3429.smv,Valid,0.08,0.06
DRAGON_10_e7_3861_e2_1020.smv,Invalid,0.07,0.05
DRAGON_10_e7_3861_e7_2180.smv,Invalid,0.07,0.05
DRAGON_10.smv,Valid,0.08,0.06
DRAGON_11_e1_2450_e1_5887.smv,Timeout,300.16,290.11
DRAGON_11_e1_2450_e2_1483.smv,Valid,161.84,161.76
DRAGON_11_e1_2450_e3_2330.smv,Valid,11.90,11.88
DRAGON_11_e1_2450_e7_5791.smv,Invalid,0.07,0.05
DRAGON_11_e1_2450.smv,Valid,6.48,6.45
DRAGON_11_e2_1678_e1_3565.smv,Valid,157.46,157.38
DRAGON_11_e2_5396_e3_282.smv,Valid,7.01,6.99
DRAGON_11_e3_382_e1_505.smv,Valid,3.13,3.10
DRAGON_11_e3_382_e4_4421.smv,Valid,3.08,3.06
DRAGON_11.smv,Valid,160.26,160.18
DRAGON_12_e1_4640_e7_128.smv,Invalid,0.08,0.06
DRAGON_12_e2_1618_e1_6030.smv,Valid,9.50,9.48
DRAGON_12_e2_1618_e2_138.smv,Valid,1.66,1.64
DRAGON_12_e2_1618_e3_2012.smv,Valid,2.14,2.12
DRAGON_12_e2_1618_e7_4732.smv,Invalid,0.07,0.05
DRAGON_12_e2_1618.smv,Valid,1.44,1.41
DRAGON_12.smv,Valid,9.50,9.48
