Clock__3.lus,Valid,0.65,1.81
Clock.lus,Valid,0.66,2.18
CollisionAvoidance__1.lus,Valid,0.91,3.66
CollisionAvoidance__2.lus,Valid,1.21,6.15
CollisionAvoidance__3.lus,Valid,1.25,6.32
CollisionAvoidance__4.lus,Invalid,0.91,3.67
CollisionAvoidance__5.lus,Invalid,0.85,3.69
CollisionAvoidance__6.lus,Invalid,0.97,3.83
CollisionAvoidance__7.lus,Invalid,0.99,4.10
CollisionAvoidance.lus:2:4:0:1.13,4.80
controlLaw.lus,Valid,0.50,1.46
cruise_controller_01.lus,Valid,0.78,3.09
cruise_controller_02.lus,Valid,0.73,3.02
cruise_controller_03.lus,Valid,0.71,2.80
cruise_controller_04.lus,Valid,0.72,3.02
cruise_controller_05.lus,Valid,0.63,2.25
cruise_controller_06.lus,Valid,0.60,2.44
cruise_controller_07.lus,Valid,0.66,2.38
cruise_controller_08.lus,Invalid,21.45,109.32
cruise_controller_09.lus,Invalid,0.79,3.28
cruise_controller_10.lus,Valid,22.53,126.78
cruise_controller_11.lus,Valid,0.70,2.45
cruise_controller_12.lus,Valid,3.17,20.71
cruise_controller_13.lus,Valid,0.60,2.38
cruise_controller_14.lus,Valid,2.43,15.65
cruise_controller_15.lus,Invalid,0.78,3.62
cruise_controller_16.lus,Invalid,10.20,67.53
cruise_controller_17.lus,Invalid,0.95,3.94
cruise_controller_18.lus,Valid,14.75,95.36
cruise_controller_19.lus,Valid,7.32,50.78
cruise_controller_20.lus,Invalid,0.79,3.56
cruise_controller_21.lus,Invalid,0.74,3.17
cruise_controller_22.lus,Invalid,0.80,3.34
cruise_controller_23.lus,Invalid,14.22,81.98
cruise_controller_24.lus,Valid,3.31,22.23
CruiseControllerCrv__10.lus,Valid,1.57,8.75
CruiseControllerCrv__11.lus,Valid,1.44,8.44
CruiseControllerCrv__12.lus,Valid,1.47,8.50
CruiseControllerCrv__1.lus,Valid,1.44,8.24
CruiseControllerCrv__2.lus,Valid,0.74,2.44
CruiseControllerCrv__3.lus,Valid,1.52,8.64
CruiseControllerCrv__4.lus,Valid,1.58,8.49
CruiseControllerCrv__5.lus,Valid,4.47,27.97
CruiseControllerCrv__6.lus,Valid,0.69,2.38
CruiseControllerCrv__7.lus,Valid,1.62,8.82
CruiseControllerCrv__8.lus,Valid,1.45,8.23
CruiseControllerCrv__9.lus,Valid,1.53,8.11
CruiseControllerCrv.lus,Valid,4.58,29.65
DeepTaxi__1.lus,Valid,0.71,2.61
DeepTaxi__2.lus,Valid,0.68,2.72
DeepTaxi.lus,Valid,0.78,3.17
DeliveryDrone__1.lus,Valid,0.85,3.49
DeliveryDrone__2.lus,Invalid,0.97,4.08
DeliveryDrone__3.lus,Invalid,0.98,3.99
DeliveryDrone__4.lus,Invalid,1.03,4.16
DeliveryDrone__5.lus,Valid,4.56,30.84
DeliveryDrone__6.lus,Valid,3.12,20.48
DeliveryDrone__7.lus,Valid,4.44,30.22
DeliveryDrone.lus:5:3:0:6.04,41.76
DRAGON_10_e1_3587_e3_2749.lus,Valid,0.64,2.15
DRAGON_10_e1_3587_e7_872.lus,Invalid,0.70,2.39
DRAGON_10_e1_998.lus,Valid,0.67,2.26
DRAGON_10_e2_2785_e3_1744.lus,Valid,0.65,2.22
DRAGON_10_e2_402.lus,Valid,0.66,2.26
DRAGON_10_e3_144_e5_2046.lus,Valid,0.63,2.18
DRAGON_10_e3_144_e7_523.lus,Invalid,0.68,2.38
DRAGON_10_e3_3429.lus,Valid,0.63,2.12
DRAGON_10_e7_3861_e2_1020.lus,Invalid,0.69,2.39
DRAGON_10_e7_3861_e7_2180.lus,Invalid,0.72,2.37
DRAGON_10.lus,Valid,0.65,2.12
DRAGON_11_e1_2450_e1_5887.lus,Valid,22.83,104.50
DRAGON_11_e1_2450_e2_1483.lus,Valid,63.35,231.33
DRAGON_11_e1_2450_e3_2330.lus,Valid,8.55,51.51
DRAGON_11_e1_2450_e7_5791.lus,Invalid,0.68,2.39
DRAGON_11_e1_2450.lus,Valid,11.19,61.52
DRAGON_11_e2_1678_e1_3565.lus,Valid,7.26,44.69
DRAGON_11_e2_5396_e3_282.lus,Valid,12.02,65.94
DRAGON_11_e3_382_e1_505.lus,Valid,7.65,47.10
DRAGON_11_e3_382_e4_4421.lus,Valid,37.61,152.84
DRAGON_11.lus,Valid,11.47,66.00
DRAGON_12_e1_4640_e7_128.lus,Invalid,0.70,2.45
DRAGON_12_e2_1618_e1_6030.lus,Valid,7.57,48.42
DRAGON_12_e2_1618_e2_138.lus,Valid,4.08,25.81
DRAGON_12_e2_1618_e3_2012.lus,Valid,5.08,32.65
DRAGON_12_e2_1618_e7_4732.lus,Invalid,0.71,2.52
DRAGON_12_e2_1618.lus,Valid,3.75,23.42
DRAGON_12.lus,Valid,7.46,46.85
DRAGON_13_e3_1418_e3_2761.lus,Valid,5.46,34.99
DRAGON_13_e7_2336_e1_541.lus,Invalid,0.75,2.53
DRAGON_13_e7_2336_e2_1255.lus,Invalid,0.68,2.37
DRAGON_13_e7_2336_e3_3117.lus,Invalid,0.75,2.61
DRAGON_13_e7_2336_e7_685.lus,Invalid,0.69,2.44
DRAGON_13_e7_2336.lus,Invalid,0.71,2.50
DRAGON_13.lus,Valid,4.14,25.53
DRAGON_14_e1_5710.lus,Valid,24.28,114.66
DRAGON_14_e2_3606.lus,Timeout,300.13,929.26
DRAGON_14_e3_1259_e1_5798.lus,Timeout,300.12,933.54
DRAGON_14_e3_5120.lus,Valid,47.65,185.82
DRAGON_14_e7_3162_e1_3998.lus,Invalid,0.68,2.43
DRAGON_14_e7_3162_e2_753.lus,Invalid,0.68,2.47
DRAGON_14_e7_3162_e3_4298.lus,Invalid,0.75,2.71
DRAGON_14_e7_3162_e7_3528.lus,Invalid,0.68,2.48
DRAGON_14_e7_3162.lus,Invalid,0.69,2.42
DRAGON_14.lus,Timeout,300.13,930.71
DRAGON_1_e1_14612_e1_268_e7_501.lus,Valid,1.97,11.65
DRAGON_1_e1_14612_e2_2653_e7_4370.lus,Valid,1.96,11.54
DRAGON_1_e1_3184_e7_1888.lus,Valid,1.96,11.22
DRAGON_1_e1_5070.lus,Valid,0.70,2.27
DRAGON_1_e2_1997_e7_3613_e2_3409.lus,Valid,1.65,9.79
DRAGON_1_e2_1997.lus,Valid,0.65,2.25
DRAGON_1_e3_11891_e7_4569_e4_4881.lus,Valid,1.75,10.41
DRAGON_1.lus,Valid,0.62,2.13
DRAGON_2_e1_2316.lus,Valid,0.55,1.76
DRAGON_2_e2_3183_e1_2644.lus,Valid,0.56,1.74
DRAGON_2_e2_3183_e2_3580.lus,Valid,0.56,1.82
DRAGON_2_e2_3183_e3_5972.lus,Valid,0.55,1.73
DRAGON_2_e2_4481.lus,Valid,0.56,1.71
DRAGON_2_e7_25_e1_154.lus,Invalid,0.78,2.50
DRAGON_2_e7_25_e2_5340.lus,Invalid,0.68,2.40
DRAGON_2_e7_25_e3_829.lus,Invalid,0.77,2.43
DRAGON_2_e7_25_e7_4469.lus,Invalid,0.75,2.61
DRAGON_2_e7_25_e8_3171.lus,Valid,0.50,1.58
DRAGON_2_e7_25.lus,Invalid,0.70,2.47
DRAGON_2.lus,Valid,0.55,1.69
DRAGON_3_e1_4783_e1_3755.lus,Valid,0.66,2.27
DRAGON_3_e1_4783_e2_158.lus,Valid,0.65,2.29
DRAGON_3_e1_4783_e3_511.lus,Valid,0.63,2.27
DRAGON_3_e1_4783_e7_4070.lus,Invalid,0.71,2.49
DRAGON_3_e1_4783.lus,Valid,0.66,2.31
DRAGON_3_e2_5343_e1_988.lus,Valid,0.61,2.20
DRAGON_3_e3_3846.lus,Valid,0.65,2.30
DRAGON_3_e3_5422_e1_2288.lus,Valid,0.55,1.76
DRAGON_3_e3_5422_e2_3135.lus,Valid,0.67,2.29
DRAGON_3_e7_4884.lus,Invalid,0.67,2.37
DRAGON_3.lus,Valid,0.66,2.33
DRAGON_4_e1_4312.lus,Valid,3.55,21.82
DRAGON_4_e2_2799_e1_1303.lus,Valid,2.58,15.69
DRAGON_4_e2_2799_e2_2251.lus,Valid,2.27,13.73
DRAGON_4_e2_2799_e3_1915.lus,Valid,3.45,21.05
